"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Multi-Label Data Fusion to Support Agricultural Vulnerability Assessments","I. D. López; A. Figueroa; J. C. Corrales","Telematics Engineering Group, University of Cauca at Tulcán, Popayán, Colombia; Environmental Studies Group, University of Cauca at Tulcán, Popayán, Colombia; Telematics Engineering Group, University of Cauca at Tulcán, Popayán, Colombia",IEEE Access,"23 Jun 2021","2021","9","","88313","88326","Identifying crop species and varieties adaptable to climate change impacts is one of the main aspects of climate vulnerability assessments. This estimation involves processing, integrating, and analyzing many information sources to provide accurate and timely responses. However, designing this evaluation, examine the information gathered, and reaching agreements among all stakeholders and experts, often requires considerable effort in time, money, and people. In this study, we propose a data fusion strategy to support climate vulnerability assessments by identifying the adaptability of crops in a territory in the short term. This strategy follows the Joint Directors of Laboratories’ data fusion model guidelines. It was evaluated and validated through a case study in Colombia’s upper Cauca river basin. For this purpose, we identified Climate, Soil, Water Quality, Productive Alliances, and Production as the most relevant data sources to be integrated, and using metrics such as Mean IR, SCUMBLE, TCS, among others, we evaluated the combined datasets according to their theoretical complexity. The adaptability of crops in a territory was addressed as a multi-label learning problem, assessing the performance of different multi-label classification and multi-view multi-label classification models with both test and actual data. Comparing the predicted crops with the actual ones, we obtained a 98% similarity without considering crop ranking using the Binary Relevance approach and the Random Forest and XGBoost algorithms. Using a more exhaustive test involving order, we obtained a maximum similarity of 67% applying Binary Relevance and Random Forest.","2169-3536","","10.1109/ACCESS.2021.3089665","University of Cauca through the Doctoral Program of Telematics Engineering; Water Security and Sustainable Development Hub through the U.K. Research and Innovation’s Global Challenges Research Fund (GCRF)(grant numbers:ES/S008179/1); Project ‘‘Alternativas Innovadoras de Agricultura Inteligente para sistemas productivos agrícolas del departamento del Cauca soportado en entornos de IoT’’(grant numbers:VRI ID4633); scholarship granted by the Colombian Ministry of Science, Technology, and Innovation (Minciencias); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9455370","Climate vulnerability assessment;climate change;crop production;data processing;data fusion;machine learning;multi-label classification;multi-label dataset;sustainable agriculture","Agriculture;Data integration;Meteorology;Stakeholders;Data models;Climate change;Atmospheric modeling","","2","","63","CCBY","15 Jun 2021","","","IEEE","IEEE Journals"
"Fully Decentralized Horizontal Autoscaling for Burst of Load in Fog Computing","E. Park; K. Baek; E. Cho; I. -Y. Ko","Korea Advanced Institute of Science and Technology, South Korea; Korea Advanced Institute of Science and Technology, South Korea; Korea Advanced Institute of Science and Technology, South Korea; Korea Advanced Institute of Science and Technology, South Korea",Journal of Web Engineering,"29 Dec 2023","2023","22","6","849","870","With the increasing number of Web of Things devices, the network and processing delays in the cloud have also increased. As a solution, fog computing has emerged, placing computational resources closer to the user to lower the communication overhead and congestion in the cloud. In fog computing systems, microservices are deployed as containers, which require an orchestration tool like Kubernetes to support service discovery, placement, and recovery. A key challenge in the orchestration of microservices is automatically scaling the microservices in case of an unpredictable burst of load. In cloud computing, a centralized autoscaler can monitor the deployed microservice instances and make scaling actions based on the monitored metric values. However, monitoring an increasing number of microservices in fog computing can cause excessive network overhead and thereby delay the time to scaling action. We propose DESA, a fully DEcentralized Self-adaptive Autoscaler through which microservice instances make their own scaling decisions, cloning or terminating themselves through self-monitoring. We evaluate DESA in a simulated fog computing environment with different numbers of fog nodes. Furthermore, we conduct a case study with the 1998 World Cup website access log, examining DESA's performance in a realistic scenario. The results show that DESA successfully reduces the scaling reaction time in large-scale fog computing systems compared to the centralized approach. Moreover, DESA resulted in a similar maximum number of instances and lower average CPU utilization during bursts of load.","1544-5976","","10.13052/jwe1540-9589.2261","ITRC(Information Technology Research Center)(grant numbers:IITP-2023-2020-0-01795); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10376422","Web services in edge clouds;microservice autoscaling;service elasticity;container orchestration","Performance evaluation;Cloud computing;Web services;Scalability;Microservice architectures;Cloning;Elasticity","","1","","25","","29 Dec 2023","","","River Publishers","River Publishers Journals"
"eCubeLand: An Intelligent Multiview Video Data Modeling","T. Hussain; S. U. Khan; W. Ullah; I. U. Haq; M. J. Kim; M. Y. Lee; S. W. Baik","Sejong University, Seoul, 05006, South Korea; Sejong University, Seoul, 05006, South Korea; Sejong University, Seoul, 05006, South Korea; Sejong University, Seoul, 05006, South Korea; Sejong University, Seoul, 05006, South Korea; Sejong University, Seoul, 05006, South Korea; Sejong University, Seoul, 05006, South Korea",IEEE MultiMedia,"3 Jan 2024","2023","30","4","5","15","The extensive use of surveillance systems, particularly those installed in Internet of Things environments, leads to the continuous harvesting of tremendous amounts of video data. The effective analysis and management of these data are challenging tasks for surveillance experts due to unstructured storage and variability. We propose an intelligent modeling framework, offering a convenient representation with indexing for real-world objects and solving complicated computer vision problems, such as anomaly detection and person re-identification. Moreover, our framework generates grids and assigns indexing to visual sensors and real-world entities, allowing efficient information retrieval with better resource allocation. The proposed framework consists of four major modules: 1) mapping, 2) data analysis, 3) information sharing, and 4) data storage. The mapping module is responsible for analyzing the environment, followed by the data analysis module, which detects, analyzes, and indexes the entities. Furthermore, video data from these modules are passed to the information sharing module, which generates alerts in the case of undesirable scenes and broadcasts the meaningful information toward adjacent visual sensors. The final module is used to preserve anomalous data along with the identified person’s information from distributed vision sensors. To validate the proposed framework, we perform experiments on real-world complex tasks, including anomaly detection and person re-identification, showing promising performance on surveillance video data.","1941-0166","","10.1109/MMUL.2023.3289953","National Research Foundation of Korea(grant numbers:2019R1A2B5B01070067); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10188515","","Surveillance;Task analysis;Sensors;Information sharing;Human computer interaction;Cameras;Visual analytics","","","","33","IEEE","19 Jul 2023","","","IEEE","IEEE Magazines"
"Cultural Heritage Information Retrieval: Past, Present, and Future Trends","B. Ranjgar; A. Sadeghi-Niaraki; M. Shakeri; F. Rahimi; S. -M. Choi","Department of Energy, Politecnico di Milano, Milan, Italy; Department of Computer Science and Engineering, Sejong University, Seoul, Republic of Korea; Graduate School of Culture Technology, Korea Advanced Institute of Science Technology (KAIST), Daejeon, Republic of Korea; Department of Computer Science and Engineering, Sejong University, Seoul, Republic of Korea; Department of Computer Science and Engineering, Sejong University, Seoul, Republic of Korea",IEEE Access,"27 Mar 2024","2024","12","","42992","43026","The importance of knowledge organization and information retrieval techniques has been evident throughout human history, becoming even more crucial in the digital age. While computer systems and the web have facilitated information retrieval, challenges arose with the increasing volume of data. The introduction of Semantic Web technologies aimed to enhance precision and accuracy by converting the web into a structured data format. The Cultural Heritage (CH) community has been at the forefront of adopting Semantic Web practices to promote interoperability and shared understanding. In this study, we present a comprehensive conceptual framework that spans cultural heritage, information modeling, and information retrieval. Our model addresses early solutions in knowledge organization systems, highlighting the evolution from classification systems and controlled vocabularies to the significance of metadata schemas. We delve into the limitations of traditional knowledge organization systems and the necessity of formal ontologies, particularly in the cultural heritage domain. The comparative analysis of CRM vs. EDM, ontology-based metadata interoperability, and ontology technologies elucidate our contributions to the field. This paper outlines the process from the initial steps of adopting Semantic Web technologies in the CH domain to the latest developments in CH information retrieval. In this paper, we also reviewed intelligent applications and services developed in the CH domain after establishing semantic data models and Knowledge Organization Systems. Finally, challenges and possible future research directions are discussed. The findings revealed that GLAMs (Galleries, Libraries, Archives, and Museums) are excellent and comprehensive sources of CH information. The CH community has put in a lot of time and effort to develop data models and knowledge organization tools; now it’s time to use this valuable resource to construct smart applications that are still in their early phases. This could benefit the CH industry even more.","2169-3536","","10.1109/ACCESS.2024.3374769","Information and Technology Research Center (ITRC) Support Program(grant numbers:IITP-2024-RS-2022-00156354); Metaverse Support Program to Nurture the Best Talents; Ministry of Science and Information and Communication Technology (ICT) of Korea and the Institute of Information and Communications Technology Planning and Evaluation (IITP)(grant numbers:IITP-2024-RS-2023-00254529); Ministry of Trade, Industry and Energy and Korea Institute for Advancement of Technology(grant numbers:P0016038); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10463018","Cultural heritage;data modeling;semantic web;information retrieval;ontology;knowledge organization systems","Cultural differences;Organizations;Semantic Web;Information retrieval;Ontologies;Knowledge engineering;Interoperability;Cultural aspects;Global communication;Museums;Vocabulary;Metadata","","","","216","CCBYNCND","7 Mar 2024","","","IEEE","IEEE Journals"
"Supply Chain of Things: A Connected Solution to Enhance Supply Chain Productivity","C. K. Wu; K. F. Tsang; Y. Liu; H. Zhu; Y. Wei; H. Wang; T. T. Yu",City University of Hong Kong; City University of Hong Kong; City University of Hong Kong; City University of Hong Kong; City University of Hong Kong; City University of Hong Kong; City University of Hong Kong,IEEE Communications Magazine,"21 Aug 2019","2019","57","8","78","83","The ubiquitous connectivity between the things in a supply chain ecosystem will contribute to the information flow essential for establishing smart solutions for efficient, reliable, and intelligent supply chain operations. In this article, a new model integrating supply chain and IoT, referred to as SCoT, is proposed to evolve into SSCE and thus enhance supply chain productivity. Productivity in this article considers not only the rate of product output but also product quality and the rate of new product development. First, the ubiquitous and ultra-reliable connectivity necessary for connecting all things in SCoT is newly defined. Four fundamental applications in SSCE are identified, and four related use cases are discussed. Seamless information access in the fully connected SCoT network will facilitate supply chain management. A novel universal SCoT platform is thus proposed to perform intelligent operations on quality measurement, product integration, and decision making. Hitherto, there is no universal standard that quantitatively grades all Supply Chain of Things with a single indicator. To ensure the platform's objectiveness and consistency, an emerging IoT standard of IEEE P2668, namely IDex, is incorporated into the platform. IDex provides quantitative measurement, grading, and ranking of all IoT things. In addition, IDex also benefits the platform by contributing three extra functions to advise on a solution for quality improvement, integration guidance, and performance prediction. Ultimately, SCoT will proliferate five key impacts on automated quality control, efficient integration, smart transportation, intelligent decision making, and end-to-end traceability. Finally, three key future research directions in the implementation of SCoT are discussed.","1558-1896","","10.1109/MCOM.2019.1900120","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8808167","","Supply chains;Reliability;Monitoring;Productivity;Network security;Scalability","","27","","15","IEEE","21 Aug 2019","","","IEEE","IEEE Magazines"
"Enhancing Parameter Efficiency in Model Inference Using an Ultralight Inter-Transformer Linear Structure","H. Shi; T. Sakai","Department of Computer Science and Communications Engineering, Waseda University, Tokyo, Shinjuku-ku, Japan; Department of Computer Science and Engineering, Waseda University, Tokyo, Shinjuku-ku, Japan",IEEE Access,"28 Mar 2024","2024","12","","43734","43746","Pre-trained language models are the cornerstone of modern natural language processing and information retrieval. However, fine-tuning all the parameters reduces the efficiency of models both in training and inference owing to their increasingly heavy structures. Existing methods for parameter efficiency still require approximately 1 MB of storage and have approximately  $10^{7}$  operations during model deployment and inference. This puts a strain on the storage and processor capacity of end devices such as smartphones and IoT equipment, and slow model inference adversely affecting the user experience. To achieve more efficient and storage-friendly inference compared to mainstream methods, such as low-rank adaptation (LoRA) and Adapter, LayerConnect (hyper-network-assisted interlayer connectors) is proposed in this paper. Extensive experiments were conducted to validate the performance of LayerConnect for two essential tasks with completely different learning frameworks and purposes: natural language understanding (using the general language understanding evaluation (GLUE) benchmark) and information retrieval (using the a contextualized inverted list (COIL) framework). For both tasks, our LayerConnect saves up to 95.31% and 91.18% of parameters in LoRA and Adapter, respectively. In contrast, LayerConnect maintains performance degradation for GLUE and COIL to less than 8% and 3%, compared to LoRA. When compared to Adapter, the numbers become 5% and 3%, for GLUE and COIL, respectively. In addition, LayerConnect required approximately 100 kB of storage per task-specific trained model for both tasks and reduced the number of operations in the model inference by four orders of magnitude, reaching approximately  $10^{3}$ .","2169-3536","","10.1109/ACCESS.2024.3378518","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10474022","Parameter efficiency;model inference;hypernetwork;pretrained language model;green AI","Task analysis;Transformers;Adaptation models;Connectors;Tuning;Information retrieval;Training","","","","33","CCBYNCND","18 Mar 2024","","","IEEE","IEEE Journals"
"Situational Awareness System in the Smart Campus","A. -M. Yang; S. -S. Li; C. -H. Ren; H. -X. Liu; Y. Han; L. Liu","Key Laboratory of Engineering Calculation in Tangshan City, North China University of Science and Technology, Tangshan, China; Key Laboratory of Engineering Calculation in Tangshan City, North China University of Science and Technology, Tangshan, China; Key Laboratory of Engineering Calculation in Tangshan City, North China University of Science and Technology, Tangshan, China; Key Laboratory of Engineering Calculation in Tangshan City, North China University of Science and Technology, Tangshan, China; Key Laboratory of Engineering Calculation in Tangshan City, North China University of Science and Technology, Tangshan, China; Key Laboratory of Engineering Calculation in Tangshan City, North China University of Science and Technology, Tangshan, China",IEEE Access,"20 Nov 2018","2018","6","","63976","63986","Smart campus is based on the Internet of Things (IoT) technology, and its purpose is to achieve the intelligent management and service on campus. Through the IoT, the mutual blending of teachers and students, learning facilities, and information generated by facilities is realized. This paper introduces and analyzes the current research status of smart campus and the difficulties in integrating various kinds of service data in smart campus. After analyzing various kinds of situational data, this paper analyzes and designs smart campus service discovery algorithm and perceptual data fusion algorithm on the basis of previous research on the situational awareness system framework for smart campus. Compared with the traditional campus platform, smart campus can manage perceptual data more efficiently, which brings convenience to campus service and management.","2169-3536","","10.1109/ACCESS.2018.2877428","National Natural Science Foundation of China(grant numbers:51674121); Natural Science Foundation of Hebei Province(grant numbers:E2017209178); North China University of Science and Technology through the Outstanding Youth Fund Project(grant numbers:JQ201705); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8502111","Internet of Things;perceptual data fusion;situational awareness;smart campus","Education;Internet of Things;Information services;Big Data;Information processing;Buildings;Software","","59","","27","OAPA","21 Oct 2018","","","IEEE","IEEE Journals"
"DINAS: A Lightweight and Efficient Distributed Naming Service for All-IP Wireless Sensor Networks","M. Amoretti; O. Alphand; G. Ferrari; F. Rousseau; A. Duda","Department of Information Engineering, University of Parma, Parma, Italy; Grenoble Informatics Laboratory, University of Grenoble, Grenoble, France; Department of Information Engineering, University of Parma, Parma, Italy; Grenoble Informatics Laboratory, University of Grenoble, Grenoble, France; Grenoble Informatics Laboratory, University of Grenoble, Grenoble, France",IEEE Internet of Things Journal,"14 Jun 2017","2017","4","3","670","684","The Internet of Things (IoT) requires a compact naming scheme, which can also bring significant advantages to service registration and discovery. We propose a novel approach, denoted as distributed naming service, which provides a new naming scheme as well as an efficient service discovery protocol for wireless sensor networks. It is based on three pillars: 1) Bloom filters, to create compact names from node descriptions; 2) message propagation strategies, to publish and discover information-not only names-within the network; and 3) distributed caches, to store names within the network. In this paper, we assume ContikiMAC at layer 2, IPv6 and Routing Protocol for Low-Power and Lossy Networks (RPL) at layer 3, and we present two particular UDP-based message propagation strategies that take advantage of the RPL protocol at layer 3. We evaluate the performance of the proposed solutions through Contiki/Cooja simulations and on a real testbed, using the open and large scale FIT IoT-LAB.","2327-4662","","10.1109/JIOT.2016.2640317","European Commission FP7 Project CALIPSO(grant numbers:288879); French National Research Agency Project IRIS(grant numbers:ANR-11-INFR-016); European Commission FP7 Project CALIPSO(grant numbers:288879); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7784700","Naming and addressing;resource-constrained networks","IP networks;Wireless sensor networks;Internet of Things;Protocols;Contracts;Temperature sensors","","11","","28","IEEE","15 Dec 2016","","","IEEE","IEEE Journals"
"Effective and Efficient Steiner Maximum Path-Connected Subgraph Search in Large Social Internet of Things","X. Fan; Y. Li; J. Sun; Y. Zhao; G. Wang","School of Information Science and Technology, North China University of Technology, Beijing, China; School of Information Science and Technology, North China University of Technology, Beijing, China; School of Information Science and Technology, North China University of Technology, Beijing, China; School of Computer Science and Engineering, Northeastern University, Shenyang, China; School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China",IEEE Access,"21 May 2021","2021","9","","72820","72834","Social Internet of Things (SIoT) is extended to integrate social networks in the Internet of Things (IoT). SIoT enriches IoT, and thus resource (or service) discovery and consolidation in SIoT becomes an important and challenging problem. In this paper, we represent the SIoT as the heterogeneous information networks (HINs) with multi-typed entities and relations, and resolve this problem from the perspective of cohesive subgraph search. Specifically, given a query node  $q$ , we discover a cohesive subgraph containing  $q$  from a HIN, where all nodes are of the same type as  $q$  and have dense relationships. Yet existing solutions cannot be applied to various HINs, and the result subgraph is not accurate and close enough due to ignoring the connectivity among nodes within the subgraph. To this end, 1) we extend the connectivity with novel meta-path-based edge-disjoint paths to HINs, and propose the  $k$ -path connected component ( $k$ -PCC) to measure the cohesiveness of subgraph in HINs; 2) we model the densest connected subgraph containing  $q$  as the  $k$ -PCC with the maximum connectivity including  $q$ , called the Steiner Maximum Path-Connected Subgraph (SMPCS); 3) we develop efficient algorithms based on an index tree for searching the SMPCS. Extensive experiments on four real HINs are conducted to demonstrate the effectiveness and efficiency of our proposed approaches.","2169-3536","","10.1109/ACCESS.2021.3079468","National Natural Science Foundation of China(grant numbers:61902004,61672041,61772124,61732003,61977001); Project of Beijing Municipal Education Commission(grant numbers:KM202010009009); Start-up Funds of North China University of Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9429179","Cohesive subgraph search;heterogeneous information network (HIN);meta-path;Social Internet of Things (SIoT)","Internet of Things;Social networking (online);Search problems","","2","","46","CCBYNCND","12 May 2021","","","IEEE","IEEE Journals"
"MulTa-HDC: A Multi-Task Learning Framework For Hyperdimensional Computing","C. -Y. Chang; Y. -C. Chuang; E. -J. Chang; A. -Y. A. Wu","Graduate Institute of Electronics Engineering, National Taiwan University, Taipei, Taiwan; Graduate Institute of Electronics Engineering, National Taiwan University, Taipei, Taiwan; MediaTek, Inc., Hsinchu, Taiwan; Department of Electrical Engineering, National Taiwan University, Taipei, Taiwan",IEEE Transactions on Computers,"12 Jul 2021","2021","70","8","1269","1284","Brain-inspired Hyperdimensional computing (HDC) has shown its effectiveness in low-power/energy designs for edge computing in the Internet of Things (IoT). Due to limited resources available on edge devices, multi-task learning (MTL), which accommodates multiple cognitive tasks in one model, is considered a more efficient deployment of HDC. However, as the number of tasks increases, MTL-based HDC (MTL-HDC) suffers from the huge overhead of associative memory (AM) and performance degradation. This hinders MTL-HDC from the practical realization on edge devices. This article aims to establish an MTL framework for HDC to achieve a flexible and efficient trade-off between memory overhead and performance degradation. For the shared-AM approach, we propose Dimension Ranking for Effective AM Sharing (DREAMS) to effectively merge multiple AMs while preserving as much information of each task as possible. For the independent-AM approach, we propose Dimension Ranking for Independent MEmory Retrieval (DRIMER) to extract and concatenate informative components of AMs while mitigating interferences among tasks. By leveraging both mechanisms, we propose a hybrid framework of Multi-Tasking HDC, called MulTa-HDC. To adapt an MTL-HDC system to an edge device given a memory resource budget, MulTa-HDC utilizes three parameters to flexibly adjust the proportion of the shared AM and independent AMs. The proposed MulTa-HDC is widely evaluated across three common benchmarks under two standard task protocols. The simulation results of ISOLET, UCIHAR, and MNIST datasets demonstrate that the proposed MulTa-HDC outperforms other state-of-the-art compressed HD models, including SparseHD and CompHD, by up to 8.23% in terms of classification accuracy.","1557-9956","","10.1109/TC.2021.3073409","Ministry of Science and Technology, Taiwan(grant numbers:MOST 109-2221-E-002-175); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9405468","Brain-inspired computing;hyperdimensional computing;machine learning;multi-task learning","Task analysis;Training;Degradation;Internet of Things;Interference;Memory management;Computational modeling","","5","","38","IEEE","15 Apr 2021","","","IEEE","IEEE Journals"
"Navigating the Maze: Exploring Blockchain Privacy and Its Information Retrieval","A. Chhabra; R. Saha; G. Kumar; T. -H. Kim","School of Computer Science and Engineering, Lovely Professional University, Phagwara, India; School of Computer Science and Engineering, Lovely Professional University, Phagwara, India; School of Computer Science and Engineering, Lovely Professional University, Phagwara, India; School of Electrical and Computer Engineering, Chonnam National University, Yeosu Campus, Yeosu, Republic of Korea",IEEE Access,"4 Mar 2024","2024","12","","32089","32110","Blockchain networks provide a reliable and secure mode of communication due to their decentralized and distributed nature. The emergence of amalgamated blockchain-based internet-of-things (IoT) systems has generated a huge amount of data to be online. Though blockchains show potential for ensuring transparency, traceability, and immutable records, the privacy of online data in blockchains becomes a question. The privacy of blockchain transactions is at stake as various privacy breaching methods are used by attackers such as linking the transactions, deanonymization, etc. However, the benefits of blockchain make the technology a dominator in the present and future technological paradigms. The other side of the coin deals with privacy information retrieval (PIR), which is necessary to retrieve private information from servers without much revealing. However, the conjunction of blockchain privacy and PIR is very critical and an important aspect of blockchain solutions. In this present survey, we pioneer in analyzing the privacy factors of existing blockchain solutions. We discuss the privacy parameters and important privacy enhancement techniques for blockchains comprehensively. We show the applicability of privacy in various domains including e-commerce, supply chain, healthcare, and IoT. We also discuss PIR-related issues and solutions in the existing literature. We highlight open research problems and discuss the benefits of collaborating with PIR and blockchain systems to improve privacy in blockchains. Our survey is beneficial for academia and industries to be aware of the present status of privacy solutions in blockchains and to address the identified loopholes to make the systems better.","2169-3536","","10.1109/ACCESS.2024.3370857","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10445462","Blockchain;information;privacy;retrieval;security;survey","Blockchains;Privacy;Data privacy;Peer-to-peer computing;Surveys;Consensus protocol;Smart contracts;Information retrieval;Data privacy;Security management","","","","100","CCBYNCND","26 Feb 2024","","","IEEE","IEEE Journals"
"Security-Aware and Time-Guaranteed Service Placement in Edge Clouds","H. Sun; H. Yu; G. Fan; L. Chen; Z. Liu","Department of Computer Science and Information Engineering, Shanghai Institute of Technology, Shanghai, China; Department of Computer Science and Engineering, East China University of Science and Technology, Shanghai, China; Department of Computer Science and Engineering, East China University of Science and Technology, Shanghai, China; Department of Computer Science and Information Engineering, Shanghai Institute of Technology, Shanghai, China; Department of Computer Science and Engineering, East China University of Science and Technology, Shanghai, China",IEEE Transactions on Network and Service Management,"10 Mar 2023","2023","20","1","711","725","Most of the emerging applications such as the Deep Neural Networks (DNN) based smart Internet of Things (IoT) systems need intensive and high-performance computing, which is contradictory to the limited resources of IoT/terminal devices. It is a big challenge to offload all tasks to the cloud due to the bandwidth limitation, processing overhead, and transmission costs. Edge computing as an extension of cloud computing that can provide abundant computing resources near the edge of the network and thereby can potentially improve the QoS of applications. However, offloading tasks to the edge servers is liable to external security threats. How to balance the response time and the security of application services is a big challenge for realizing good application service placement. This paper proposes a time and security efficient task scheduling framework in the edge-cloud environment. The corresponding computing models are established, such as the security-related model, time model, and the risk probability model. Then, a time-guaranteed and security-aware task scheduling algorithm is proposed including the domain construction, the security-aware task ranking, and the task dispatching. Extensive simulation experiments have been conducted. Results show that the proposed method has better performance than the other four compared methods in general.","1932-4537","","10.1109/TNSM.2022.3213761","Shanghai Rising-Star Program(Sailing Program), China(grant numbers:22YF1448100); Scientific Research Starting Foundation of Shanghai Institute of Technology, China(grant numbers:YJ2021-53); Capacity Building Project of Local Universities Science and Technology Commission of Shanghai Municipality(grant numbers:22010504100); Development Fund for Young and Middle-aged Scientific and Technological Talents of Shanghai Institute of Technology(grant numbers:ZQ2021-19); Development of Science and Technology of Shanghai Institute of Technology(grant numbers:Kjfz2021-176,Kjfz2021-177); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9916062","Edge-cloud;time;security;task scheduling;service placement","Task analysis;Security;Servers;Edge computing;Computational modeling;Cloud computing;Internet of Things","","","","47","IEEE","11 Oct 2022","","","IEEE","IEEE Journals"
"Service Solution Planning Considering Priori Knowledge and Fast Retrieval","R. Liu; X. Xu; Z. Wang; Q. Z. Sheng","School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; Department of Computing, Macquarie University, Sydney, NSW, Australia",IEEE Access,"28 Nov 2018","2018","6","","68263","68276","Service composition is widely used to build complex value-added composite services to meet various coarse-grained requirements of customers. Discovering relevant services as the constituents of composite services is a crucial task, which needs to be frequently performed during the composition process. Due to the fact that the amount of services available on the Internet is increasing drastically, the efficiency of both service discovery and composition becomes a big challenge. To solve this challenge, we propose a Priori Knowledge Based Service Composition (PKBSC) approach to reduce the searching space of relevant service discovery so as to improve the efficiency of service composition. PKBSC utilizes an interoperable approach, including an ontology construction and merging method, to solve the problem of the cross-domain and heterogeneous services from different repositories. In addition, service pattern is adopted to describe priori knowledge from massive historical solutions, which is a recurrent valuable fragment composed of services frequently invoked together in service solutions. PKBSC also adopts the Formal Concept Analysis to extract the implicit relationship between service requests and service patterns. Compared with the approach of composing multiple services from scratch, PKBSC exhibits better performance since the search space is greatly reduced by the adoption of service patterns. Experiments demonstrate that the proposed approach significantly improves the efficiency of service composition by 22.44%.","2169-3536","","10.1109/ACCESS.2018.2879120","National Key Research and Development Program of China(grant numbers:2017YFB1400604); National Natural Science Foundation of China(grant numbers:61772155,61832014,61832004,61472106); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8519718","Formal concept analysis;frequent pattern mining;service composition;service pattern","Web services;Ontologies;Semantics;Formal concept analysis;Semantic Web;Task analysis","","1","","61","OAPA","1 Nov 2018","","","IEEE","IEEE Journals"
"On PIR and Symmetric PIR From Colluding Databases With Adversaries and Eavesdroppers","Q. Wang; M. Skoglund","Department of Information Science and Engineering, KTH Royal Institute of Technology, Stockholm, Sweden; Department of Information Science and Engineering, KTH Royal Institute of Technology, Stockholm, Sweden",IEEE Transactions on Information Theory,"22 Apr 2019","2019","65","5","3183","3197","We consider the problem of private information retrieval (FIR) and symmetric private information retrieval (SFIR) from replicated databases with colluding servers, in the presence of Byzantine adversaries and eavesdroppers. Specifically, there are K messages replicatively stored at N databases. A user wants to retrieve one message by communicating with the databases, without revealing the identity of the message retrieved. For T-colluding databases, any T out of N databases may communicate their interactions with the user to guess the identity of the requested message. We consider the situation where the communication system can be vulnerable to attachers, namely, there is an adversary in the system that can tap in on or even try to corrupt the communication. The capacity is defined as the maximum number of information bits of the desired message retrieved per downloaded bit. For SPIR, it is further required that the user learns nothing about the other K - 1 messages in the database. Three types of adversaries are considered: a Byzantine adversary who can overwrite the transmission of any B servers to the user; a passive eavesdropper who can tap in on the incoming and outgoing transmissions of any E servers; and a combination of both -an adversary who can tap in on a set of any E nodes, and overwrite the transmission of a set of any B nodes. The problems of SPIR with colluding servers and the three types of adversaries are named T-BSPIR, T-ESPIR and T-BESPIR, respectively. We derive the capacities of the three secure SPIR problems. The results resemble those of secure network coding problems with adversaries and eavesdroppers. The capacity of T-colluding PIR with Byzantine adversaries is characterized in [1]. In this work, we consider T-colluding PIR with an eavedropper (named T-EPIR). We derive the T-EPIR capacity when E ≥ T; for the case where E ≤ T, we find an outer bound (converse bound) and an inner bound (achievability) on the optimal achievable rate.","1557-9654","","10.1109/TIT.2018.2878034","Knut och Alice Wallenbergs Stiftelse; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8509632","Private information retrieval;colluding servers;eavesdropper;Byzantine adversary","Servers;Indexes;Information retrieval;Data privacy;Network coding;Random variables","","36","","23","IEEE","25 Oct 2018","","","IEEE","IEEE Journals"
